TARGET_CLASS,configuration_id,criterion,ctg_min_time_per_job,ctg_schedule,search_budget,p_object_pool,ctg_time_per_class,Size,Length,Total_Time,Random_Seed,LineCoverage,LineCoverageBitString,Line_Covered_Goals,Line_Goals,BranchCoverage,BranchCoverageBitString,Branch_Covered_Goals,Branch_Goals,WeakMutationScore,WeakMutationCoverageBitString,WeakMutation_Covered_Goals,WeakMutation_Goals,OutputCoverage,OutputCoverageBitString,Output_Covered_Goals,Output_Goals,MethodCoverage,MethodCoverageBitString,Method_Covered_Goals,Method_Goals,CBranchCoverage,CBranchCoverageBitString,CBranch_Covered_Goals,CBranch_Goals
com.macro.mall.security.component.RestAuthenticationEntryPoint,default,LINE;BRANCH;WEAKMUTATION;OUTPUT;METHOD;CBRANCH,1,SIMPLE,135,0.3,30,1,6,38613,1698302555611,1.0,11111111,8,8,1.0,11,2,2,1.0,111111,6,6,1.0,,1,1,1.0,11,2,2,1.0,11,2,2
com.macro.mall.security.component.RestfulAccessDeniedHandler,default,LINE;BRANCH;WEAKMUTATION;OUTPUT;METHOD;CBRANCH,1,SIMPLE,135,0.3,30,1,6,38300,1698302692395,1.0,11111111,8,8,1.0,11,2,2,1.0,111111,6,6,1.0,,1,1,1.0,11,2,2,1.0,11,2,2
